header,timestamp,totaal_verbruik_dagtarief_kwh,totaal_verbruik_nachttarief_kwh,totaal_injectie_dagtarief_kwh,totale_injectie_nachttarief_kwh,Tarief_indicatie,gemmiddeld_verbruik_kw,timestamp_piekvermogen,piekvermogen_huidige_maand,actief_verbruik_kw,acitef_injectie_kw,instant_vermogen_L1+P_kw,instant_vermogen_l1_injectie_kw,spanning_V,stroom_A,timestamp_gas,gas_verbruik_m³,Totale_injectie_nachttarief_kwh,actief_injectie_kw
"FLU5\253770234_A",2023-09-02T13:32:09Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.003,0,00.003,00.000,242.0,001.08,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:10Z,000335.889,0,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.003,0,00.003,00.000,241.6,001.07,2023-09-02T13:31:57Z,00817.313,000712.647
"FLU5\253770234_A",2023-09-02T13:32:11Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.003,0,00.003,00.000,241.9,001.07,2023-09-02T13:31:57Z,00817.313,000712.647
"FLU5\253770234_A",2023-09-02T13:32:12Z,000335.889,00047.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.000,0,00.000,00.000,241.7,001.07,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:13Z,000335.889,000447.198,0,0,0002,00.017,0,0,00.000,0,00.000,00.000,242.3,001.07,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:14Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-08-01T16:00:00Z,04.898,00.000,0,00.000,00.000,241.7,001.07,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:15Z,000335.889,000$47.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.000,0,00.000,00.000,242.3,001.07,2023-09-02T13:31:57Z,00817.313,000712.647
"FLU5\253770234_A",2023-09-02T13:32:16Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.000,0,00.000,00.000,241.7,001.08,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:17Z,000335.889,000447.198,001821.987,0,0002,00.017,0,0,0,0,0,0,0,0,0,0,000712.647
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001.07,2023-09-02T13:31:57Z,00817.313
"FLU5\253770234_A",2023-09-02T13:32:18Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.000,0,00.000,00.000,241.7,001.08,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:19Z,000335.889,000447.198,0,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.000,0,0,00.000,242.1,001.09,2023-09-02T13:31:57Z,00817.313,000712.647
"FLU5\253770234_A",2023-09-02T13:32:20Z,000335.889,000447.198,0,0,0002,00.017,2023-09-01T16:00:00Z,04.8)8,00.000,0,00.000,00.000,241.9,001.07,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:21Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,,00.000,0,00.000,00.000,242.2,001.07,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:22Z,000335.889,000447.198,001821.987,0,0002,00.017,0,0,00.000,0,00.000,00.000,241.8,001.07,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:23Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.000,0,00.000,00.000,242.4,001.07,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:24Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.000,0,00.000,00.000,241.7,001.07,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:25Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.000,0,00.000,00.000,242.0,001.08,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:26Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.000,0,0,00.000,241.5,001.07,0,0,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:27Z,000335.889,000447.198,0,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.000,0,00.000,00.000,242.0,001.07,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:28Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.000,0,00.00,00.000,241.6,001.07,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",0,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.000,0,00.000,0,241.6,001.08,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
